Vac,Amp ac,pwr W
237.3,0.149,25.7
237.5,0.143,16.4
237.4,0.143,16.1
236.6,0.141,15.4
236.6,0.142,16
236.6,0.143,16
236.6,0.142,16.1
236.6,0.143,16.1
236.6,0.143,16
237.3,0.146,16.6
237.5,0.143,16.2
237.5,0.142,16.1
237.5,0.142,16.1
237.4,0.143,16
237.4,0.142,16.1
237.3,0.143,16.1
237.4,0.142,16.1
237.3,0.143,16
237.3,0.142,16.1
237.4,0.142,16.1
237.4,0.142,16.2
237.2,0.142,16.1
237.2,0.143,16
237.2,0.142,16
237.2,0.142,16.1
237.2,0.143,16.1
237.3,0.143,16.1
237.2,0.142,16.1
237.3,0.142,16.1
237.3,0.142,16.1
237.5,0.143,16.1
237.2,0.142,16
237.2,0.142,16.1
237.2,0.143,16.2
237.2,0.141,16
237.1,0.142,16.1
237.2,0.143,16.1
237,0.142,16
237.2,0.142,16
237.2,0.142,16
237.1,0.142,16.1
237.2,0.142,16.1
237.2,0.142,16.1
237.2,0.143,16.1
237.2,0.142,16.1
237.3,0.142,16.1
237.3,0.142,16.1
237.2,0.141,16
237.3,0.142,16.1
237.3,0.143,16.1
237.3,0.142,16.1
237.3,0.142,16
237.5,0.143,16.2
237.4,0.142,16.1
237.5,0.142,16.2
237.4,0.143,16.1
237.4,0.141,16
237.4,0.143,16.1
237.1,0.142,16.1
237.1,0.193,24.4
237,0.193,23.5
237.1,0.193,23.7
237.2,0.148,20.9
237.2,0.142,16.1
237.3,0.142,16.1
237.2,0.142,16
237.2,0.142,16.1
237.2,0.143,16
237.3,0.142,16.1
237.4,0.142,16.1
237.3,0.143,16.1
237.4,0.192,16
237.2,0.182,23.5
237.3,0.143,16.2
237.1,0.139,16
236.1,0.422,16.7
